CARRERA;HORA_ENTRADA;HORA_SALIDA;SEXO;FUMADOR;NIVEL_ELOCUENCIA;IMPORTANCIA_FUMADOR;IMPORTANCIA_ELOCUENCIA;IMPORTANCIA_MUSICA;IMPORTANCIA_SEXO;MODO_TRANSPORTE;GUSTO_MUSICAL;CARPOOLING_AUTO;CARPOOLING_BUS
Arquitectura;1:00:00 p. m.;7:00:00 p. m.;Mujer;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;10;2;2;2;Manejo en auto;Pop, Techno, Electrónica, Rock, Metal, Rap/Hip-Hop, Reggaeton;Si;
Ingeniería Civil;8:00:00 a. m.;5:00:00 p. m.;Hombre;No;Extrovertido/a - Abierto - Hago amigos fácilmente;10;6;1;1;Autobús;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;;Si
Análisis de Sistemas Informáticos;6:15:00 p. m.;10:00:00 p. m.;Hombre;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;8;5;1;1;Manejo en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;Si;
Ingeniería Civil;1:00:00 p. m.;6:00:00 p. m.;Mujer;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;5;1;1;6;Autobús;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;;Si
Ingeniería Civil;1:00:00 p. m.;6:00:00 p. m.;Mujer;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;1;1;1;1;Autobús;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;;Si
Ingeniería Civil;1:00:00 p. m.;5:45:00 p. m.;Hombre;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;8;4;1;1;Manejo en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;Si;
Diseño Gráfico;5:40:00 p. m.;10:00:00 p. m.;Hombre;Si;Extrovertido/a - Abierto - Hago amigos fácilmente;2;6;6;6;Manejo en auto;Pop, Techno, Electrónica, Rap/Hip-Hop, Reggaeton, Trap;No;
Arquitectura;3:00:00 p. m.;7:00:00 p. m.;Mujer;No;Extrovertido/a - Abierto - Hago amigos fácilmente;5;7;1;1;Autobús;Pop, Techno, Electrónica, Rock;;Si
Arquitectura;9:00:00 a. m.;6:00:00 p. m.;Mujer;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;1;5;3;4;Manejo en auto;Pop, Rap/Hip-Hop, Reggaeton, Trap;Si;
Ingeniería Civil;1:00:00 p. m.;7:00:00 p. m.;Mujer;No;Extrovertido/a - Abierto - Hago amigos fácilmente;8;1;1;1;Autobús;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;;Si
Ingeniería Civil;1:00:00 p. m.;6:00:00 p. m.;Mujer;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;10;6;1;3;Manejo en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio, Pop, Rap/Hip-Hop, Reggae;Si;
Nutrición;11:00:00 a. m.;5:00:00 p. m.;Mujer;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;10;8;8;10;Manejo en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;Si;
Ciencias Contables;6:30:00 p. m.;10:10:00 p. m.;Mujer;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;1;1;1;1;Autobús;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;;Si
Ingeniería Civil;7:30:00 a. m.;4:00:00 p. m.;Mujer;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;1;5;1;1;Manejo en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;Si;
Ingeniería Civil;1:30:00 p. m.;6:00:00 p. m.;Hombre;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;1;5;5;6;Manejo en auto;Rock, Reggae, Reggaeton, Trap;Si;
Administración de Empresas;7:00:00 p. m.;10:15:00 a. m.;Mujer;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;2;1;1;1;Manejo en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;Si;
Ingeniería Civil;7:30:00 a. m.;9:00:00 p. m.;Mujer;No;Extrovertido/a - Abierto - Hago amigos fácilmente;3;2;1;1;Autobús;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;;Si
Arquitectura;1:00:00 p. m.;6:30:00 p. m.;Hombre;Si;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;3;4;3;3;Manejo en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;Si;
Ciencias Contables;7:00:00 p. m.;10:00:00 p. m.;Mujer;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;8;1;7;9;Manejo en auto;Pop;Si;
Comercio Internacional;7:00:00 p. m.;10:00:00 a. m.;Hombre;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;4;4;2;1;Manejo en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio, Techno, Electrónica, Reggaeton;Si;
Ingeniería Civil;2:00:00 p. m.;6:00:00 p. m.;Mujer;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;9;6;5;2;Manejo en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;Si;
Ingeniería Civil;7:30:00 a. m.;4:45:00 p. m.;Mujer;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;3;1;1;1;Autobús;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;;Si
Medicina;7:30:00 a. m.;5:00:00 p. m.;Mujer;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;7;5;1;1;Manejo en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;No;
Ciencias Contables;6:40:00 p. m.;10:00:00 p. m.;Mujer;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;1;1;1;1;Manejo en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;Si;
Medicina;7:30:00 a. m.;12:00:00 p. m.;Mujer;No;Extrovertido/a - Abierto - Hago amigos fácilmente;5;1;1;1;Autobús;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;;Si
Ingeniería Industrial;9:00:00 a. m.;6:00:00 p. m.;Mujer;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;7;1;1;2;Autobús;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;;Si
Ingeniería Industrial;8:00:00 a. m.;8:00:00 p. m.;Mujer;Si;Extrovertido/a - Abierto - Hago amigos fácilmente;4;9;10;1;Autobús;Pop, Rock, Reggaeton;;Si
Marketing;6:30:00 p. m.;10:00:00 p. m.;Hombre;No;Extrovertido/a - Abierto - Hago amigos fácilmente;1;1;1;1;Autobús;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;;Si
Economía;6:20:00 p. m.;10:00:00 p. m.;Hombre;No;Extrovertido/a - Abierto - Hago amigos fácilmente;3;5;5;1;Manejo en auto;Reggaeton, Trap, Prefiero ir en silencio;Si;
Ingeniería Civil;8:00:00 a. m.;2:00:00 p. m.;Hombre;No;Extrovertido/a - Abierto - Hago amigos fácilmente;4;6;2;1;Manejo en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;Si;
Economía;6:50:00 p. m.;9:50:00 p. m.;Hombre;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;1;1;4;1;Autobús;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;;Si
Ingeniería Electrónica;1:00:00 p. m.;7:00:00 p. m.;Mujer;No;Introvertido/a - Tímido/a - Retraído;3;5;6;2;Me traen en auto;Pop, Techno, Electrónica, Rock, Reggae;No;
Economía;8:00:00 a. m.;12:00:00 p. m.;Hombre;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;3;5;2;1;Manejo en auto;Prefiero ir en silencio;No;
Administración de Empresas;6:30:00 p. m.;10:00:00 p. m.;Hombre;No;Extrovertido/a - Abierto - Hago amigos fácilmente;10;10;9;10;Manejo en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio, Reggaeton;Si;
Ingeniería Civil;10:45:00 a. m.;5:00:00 p. m.;Mujer;No;Extrovertido/a - Abierto - Hago amigos fácilmente;5;7;10;1;Me traen en auto;Reggaeton;Si;
Ingeniería Informática;1:00:00 p. m.;2:30:00 p. m.;Hombre;No;Extrovertido/a - Abierto - Hago amigos fácilmente;8;1;1;1;Me traen en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;Si;
Ingeniería Civil;9:00:00 a. m.;7:00:00 p. m.;Mujer;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;5;7;1;1;Autobús;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;;Si
Comercio Internacional;6:30:00 p. m.;10:00:00 p. m.;Hombre;No;Extrovertido/a - Abierto - Hago amigos fácilmente;5;7;4;6;Autobús;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;;Si
Comercio Internacional;6:30:00 p. m.;10:15:00 p. m.;Mujer;No;Extrovertido/a - Abierto - Hago amigos fácilmente;5;3;3;1;Me traen en auto;Pop, Electrónica, Reggaeton;Si;
Ingeniería Civil;2:00:00 p. m.;6:00:00 p. m.;Hombre;No;Extrovertido/a - Abierto - Hago amigos fácilmente;1;1;1;1;Manejo en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;Si;
Economía;6:30:00 p. m.;10:00:00 p. m.;Mujer;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;5;3;1;4;Autobús;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;;Si
Arquitectura;1:00:00 p. m.;1:30:00 p. m.;Mujer;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;9;5;1;2;Manejo en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;Si;
Ingeniería Industrial;7:40:00 a. m.;12:15:00 p. m.;Hombre;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;1;1;1;1;Autobús;Rock;;Si
Ingeniería Electrónica;7:30:00 a. m.;4:00:00 p. m.;Hombre;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;1;3;1;1;Exclusivamente a pie;Prefiero ir en silencio;;Si
Marketing;6:00:00 p. m.;10:15:00 p. m.;Mujer;Si;Extrovertido/a - Abierto - Hago amigos fácilmente;1;5;8;1;Manejo en auto;Pop, Reggaeton;Si;
Medicina;7:30:00 a. m.;12:00:00 p. m.;Mujer;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;10;5;1;1;Autobús;Pop;;Si
Fonoaudiología;7:30:00 a. m.;12:00:00 p. m.;Mujer;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;5;1;1;1;Me traen en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;Si;
Medicina;7:30:00 a. m.;3:00:00 p. m.;Hombre;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;8;3;1;1;Manejo en auto;Pop, Techno, Electrónica, Rock, Reggae;Si;
Ingeniería Civil;1:00:00 p. m.;5:00:00 p. m.;Hombre;No;Extrovertido/a - Abierto - Hago amigos fácilmente;1;1;1;1;Manejo en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;Si;
Análisis de Sistemas Informáticos;5:50:00 p. m.;10:00:00 p. m.;Mujer;No;Introvertido/a - Tímido/a - Retraído;1;1;1;1;Autobús;Pop;;Si
Fonoaudiología;7:30:00 a. m.;11:30:00 a. m.;Mujer;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;10;10;1;1;Manejo en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;No;
Administración de Empresas;6:00:00 p. m.;9:30:00 p. m.;Hombre;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;5;7;3;1;Autobús;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;;Si
Ciencias Contables;7:00:00 p. m.;10:10:00 p. m.;Mujer;No;Extrovertido/a - Abierto - Hago amigos fácilmente;1;1;1;1;Autobús;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;;Si
Medicina;3:08:00 p. m.;9:25:00 p. m.;Hombre;No;Extrovertido/a - Abierto - Hago amigos fácilmente;10;9;1;1;Manejo en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;No;
Arquitectura;7:15:00 a. m.;6:30:00 a. m.;Mujer;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;1;6;6;2;Autobús;Rap/Hip-Hop, Reggaeton;;No
Ingeniería Civil;1:00:00 p. m.;6:00:00 p. m.;Mujer;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;8;4;6;8;Autobús;Prefiero ir en silencio;;No
Medicina;7:30:00 a. m.;5:30:00 p. m.;Mujer;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;7;7;3;5;Autobús;Pop;;Si
Ingeniería Civil;7:00:00 a. m.;1:50:00 p. m.;Mujer;No;Extrovertido/a - Abierto - Hago amigos fácilmente;1;1;1;1;Autobús;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;;Si
Marketing;6:30:00 p. m.;10:00:00 p. m.;Mujer;Si;Extrovertido/a - Abierto - Hago amigos fácilmente;10;10;10;6;Me traen en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;Si;
Medicina;7:30:00 a. m.;12:00:00 p. m.;Hombre;No;Extrovertido/a - Abierto - Hago amigos fácilmente;10;1;5;5;Manejo en auto;Pop, Rock, Reggae;Si;
Administración de Empresas;7:00:00 p. m.;10:00:00 a. m.;Hombre;No;Extrovertido/a - Abierto - Hago amigos fácilmente;1;5;5;1;Manejo en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;Si;
Marketing;6:30:00 p. m.;10:00:00 p. m.;Mujer;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;4;8;3;1;Autobús;Pop;;Si
Arquitectura;8:00:00 a. m.;5:00:00 p. m.;Mujer;No;Extrovertido/a - Abierto - Hago amigos fácilmente;6;10;1;1;Manejo en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;Si;
Arquitectura;8:30:00 a. m.;5:00:00 p. m.;Mujer;No;Extrovertido/a - Abierto - Hago amigos fácilmente;10;5;5;5;Autobús;Pop, Reggaeton;;Si
Ingeniería Civil;7:30:00 a. m.;2:30:00 p. m.;Hombre;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;10;1;1;1;Manejo en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;No;
Arquitectura;8:00:00 a. m.;5:00:00 p. m.;Hombre;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;10;7;8;1;Manejo en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;Si;
Comercio Internacional;7:00:00 p. m.;10:00:00 p. m.;Hombre;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;1;1;1;1;Manejo en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;Si;
Comercio Internacional;7:00:00 p. m.;5:00:00 p. m.;Hombre;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;2;2;1;1;Autobús;Rock;;Si
Ingeniería Industrial;7:30:00 a. m.;6:00:00 p. m.;Mujer;No;Extrovertido/a - Abierto - Hago amigos fácilmente;5;1;1;1;Manejo en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;Si;
Fonoaudiología;7:30:00 a. m.;11:00:00 a. m.;Mujer;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;1;1;1;1;Me traen en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;Si;
Fonoaudiología;7:30:00 a. m.;11:00:00 a. m.;Mujer;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;10;1;1;1;Manejo en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;Si;
Fonoaudiología;7:30:00 a. m.;10:40:00 a. m.;Mujer;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;5;4;2;6;Autobús;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;;Si
Ingeniería Civil;7:03:00 a. m.;5:45:00 p. m.;Mujer;No;Extrovertido/a - Abierto - Hago amigos fácilmente;10;1;1;1;Autobús;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;;Si
Ingeniería Civil;1:00:00 p. m.;7:00:00 p. m.;Hombre;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;3;1;1;1;Autobús;Pop, Rock, Reggaeton;;Si
Fonoaudiología;7:30:00 a. m.;12:00:00 p. m.;Mujer;No;Extrovertido/a - Abierto - Hago amigos fácilmente;1;1;1;1;Autobús;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;;Si
Comercio Internacional;6:30:00 p. m.;10:00:00 p. m.;Mujer;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;1;1;1;1;Autobús;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;;Si
Ingeniería Civil;2:30:00 p. m.;2:15:00 p. m.;Hombre;No;Introvertido/a - Tímido/a - Retraído;1;5;6;5;Manejo en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;Si;
Fonoaudiología;7:30:00 a. m.;11:30:00 a. m.;Mujer;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;3;4;1;1;Manejo en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;Si;
Ingeniería Civil;9:00:00 a. m.;4:00:00 p. m.;Hombre;Si;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;1;5;10;1;Manejo en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;Si;
Ingeniería Industrial;9:00:00 a. m.;1:00:00 p. m.;Hombre;Si;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;1;1;10;1;Manejo en auto;Pop, Techno, Electrónica, Rock, Metal, Rap/Hip-Hop;Si;
Análisis de Sistemas Informáticos;6:15:00 p. m.;10:00:00 p. m.;Hombre;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;1;5;1;1;Autobús;No tengo preferencia/ me da igual/ escucho lo que hay en la radio, Pop, Rock;;Si
Economía;6:30:00 p. m.;9:00:00 p. m.;Hombre;No;Extrovertido/a - Abierto - Hago amigos fácilmente;4;1;1;1;Autobús;Rock, Rap/Hip-Hop, Reggae, Trap;;Si
Ingeniería Civil;7:30:00 a. m.;5:00:00 p. m.;Mujer;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;3;1;1;5;Manejo en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;Si;
Ciencias Contables;6:20:00 p. m.;10:00:00 p. m.;Mujer;No;Extrovertido/a - Abierto - Hago amigos fácilmente;3;3;2;4;Manejo en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;Si;
Administración de Empresas;7:00:00 p. m.;9:45:00 p. m.;Mujer;No;Extrovertido/a - Abierto - Hago amigos fácilmente;5;3;1;1;Manejo en auto;Pop, Electrónica, Reggaeton;Si;
Ingeniería Civil;10:45:00 a. m.;5:00:00 p. m.;Mujer;Si;Extrovertido/a - Abierto - Hago amigos fácilmente;1;6;5;1;Manejo en auto;Pop, Techno, Rap/Hip-Hop, Reggae, Trap;Si;
Administración de Empresas;6:00:00 p. m.;10:00:00 p. m.;Hombre;Si;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;1;4;3;1;Manejo en auto;Rock;No;
Economía;6:30:00 p. m.;10:00:00 p. m.;Hombre;Si;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;1;6;1;1;Manejo en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;Si;
Fonoaudiología;7:30:00 a. m.;11:00:00 a. m.;Mujer;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;10;5;4;7;Autobús;Pop;;Si
Arquitectura;1:00:00 p. m.;7:00:00 p. m.;Mujer;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;1;1;1;1;Manejo en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;Si;
Economía;6:30:00 p. m.;10:00:00 p. m.;Hombre;No;Extrovertido/a - Abierto - Hago amigos fácilmente;5;5;1;1;Manejo en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;No;
Ingeniería Civil;9:00:00 a. m.;6:00:00 p. m.;Mujer;No;Extrovertido/a - Abierto - Hago amigos fácilmente;2;1;1;1;Autobús;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;;Si
Ciencias Contables;7:00:00 p. m.;10:00:00 p. m.;Mujer;No;Extrovertido/a - Abierto - Hago amigos fácilmente;10;5;5;10;Manejo en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio, Pop, Reggaeton, Trap;Si;
Ciencias Contables;6:30:00 p. m.;10:00:00 p. m.;Mujer;No;Extrovertido/a - Abierto - Hago amigos fácilmente;6;7;8;5;Manejo en auto;Pop, Electrónica, Reggaeton;Si;
Arquitectura;1:00:00 p. m.;6:00:00 p. m.;Mujer;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;8;6;3;3;Manejo en auto;Pop, Electrónica, Rap/Hip-Hop, Reggae, Reggaeton;Si;
Fonoaudiología;7:30:00 a. m.;6:40:00 a. m.;Mujer;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;5;5;5;5;Autobús;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;;Si
Administración de Empresas;7:00:00 p. m.;10:00:00 p. m.;Mujer;Si;Extrovertido/a - Abierto - Hago amigos fácilmente;1;5;1;1;Autobús;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;;Si
Administración de Empresas;7:00:00 p. m.;10:30:00 a. m.;Hombre;No;Extrovertido/a - Abierto - Hago amigos fácilmente;10;7;1;1;Manejo en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;Si;
Administración de Empresas;6:30:00 p. m.;9:45:00 p. m.;Mujer;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;6;1;5;5;Me traen en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;Si;
Medicina;7:30:00 a. m.;5:00:00 p. m.;Hombre;Si;Extrovertido/a - Abierto - Hago amigos fácilmente;1;5;1;1;Autobús;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;;Si
Fonoaudiología;7:30:00 a. m.;12:00:00 p. m.;Mujer;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;7;1;1;1;Manejo en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;Si;
Comercio Internacional;7:00:00 p. m.;10:00:00 p. m.;Hombre;No;Extrovertido/a - Abierto - Hago amigos fácilmente;7;10;7;1;Manejo en auto;Pop, Electrónica, Rock, Metal, Rap/Hip-Hop;Si;
Economía;6:00:00 p. m.;10:10:00 p. m.;Hombre;No;Extrovertido/a - Abierto - Hago amigos fácilmente;5;5;1;1;Autobús;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;;Si
Administración de Empresas;6:30:00 p. m.;10:15:00 p. m.;Mujer;Si;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;3;5;2;1;Autobús;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;;Si
Ingeniería Ambiental;8:00:00 a. m.;8:00:00 p. m.;Hombre;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;9;7;5;2;Manejo en auto;Pop, Electrónica, Rock, Metal, Rap/Hip-Hop, Reggae, Reggaeton, Trap;Si;
Economía;6:30:00 p. m.;10:00:00 p. m.;Hombre;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;10;5;1;1;Manejo en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio, Prefiero ir en silencio;Si;
Ingeniería Industrial;7:00:00 a. m.;4:00:00 p. m.;Mujer;No;Extrovertido/a - Abierto - Hago amigos fácilmente;5;1;10;1;Autobús;No tengo preferencia/ me da igual/ escucho lo que hay en la radio, Pop, Cumbia, Reggaeton, Prefiero ir en silencio;;Si
Ingeniería Industrial;3:00:00 p. m.;9:00:00 p. m.;Mujer;No;Extrovertido/a - Abierto - Hago amigos fácilmente;1;1;1;1;Manejo en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;Si;
Economía;6:30:00 p. m.;10:00:00 p. m.;Mujer;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;10;6;7;1;Manejo en auto;Pop;Si;
Medicina;7:30:00 a. m.;12:50:00 p. m.;Mujer;No;Extrovertido/a - Abierto - Hago amigos fácilmente;8;8;1;5;Autobús;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;;Si
Medicina;9:30:00 a. m.;8:50:00 a. m.;Hombre;No;Extrovertido/a - Abierto - Hago amigos fácilmente;5;1;1;1;Manejo en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;Si;
Comercio Internacional;6:15:00 p. m.;10:15:00 p. m.;Mujer;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;3;5;2;2;Manejo en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio, Pop, Rock, Rap/Hip-Hop, Cumbia, Reggaeton;Si;
Economía;6:30:00 p. m.;10:00:00 p. m.;Hombre;Si;Extrovertido/a - Abierto - Hago amigos fácilmente;1;5;1;1;Manejo en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;Si;
Fonoaudiología;8:00:00 a. m.;11:30:00 a. m.;Mujer;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;10;1;1;1;Autobús;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;;Si
Economía;6:20:00 p. m.;5:50:00 p. m.;Mujer;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;1;1;4;1;Manejo en auto;Pop, Rock, Cumbia, Reggaeton;Si;
Ingeniería Informática;7:00:00 a. m.;4:00:00 p. m.;Hombre;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;1;1;1;1;Autobús;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;;Si
