before;after
2728.06639455642;2728.06639455642
5011.23809866958;5011.23809866958
2144.97409545465;2144.97409545465
453.637468761693;453.637468761693
2154.5830026292;2154.5830026292
5180.32279499555;5180.32279499555
2672.77607393252;2672.77607393252
2582.16835459514;0
1605.72142797816;0
3032.52243293652;3032.52243293652
3993.1135617711;3993.1135617711
2377.79865227602;2377.79865227602
7235.59683772051;7235.59683772051
7891.30347183976;7891.30347183976
2368.32396644239;2368.32396644239
15202.2995686888;15202.2995686888
9590.20156199838;9590.20156199838
4294.1196983226;0
14020.2932313129;14020.2932313129
5527.00296776876;5527.00296776876
14559.2095685254;14559.2095685254
2037.36992851977;2037.36992851977
3216.03519549775;0
842.716861647345;842.716861647345
1788.55122758863;0
3876.51057349863;3876.51057349863
5498.42914969034;5498.42914969034
9542.9290489013;9542.9290489013
11826.9421939315;11826.9421939315
4428.02897330448;0
2554.50341021745;0
1139.98515809036;1139.98515809036
4781.38647823798;4781.38647823798
4287.96301603304;4287.96301603304
3186.9161058624;3186.9161058624
8122.4055564782;8122.4055564782
8764.79755534393;8764.79755534393
3499.65232461408;3499.65232461408
5994.36889056258;5994.36889056258
6847.96121484679;0
5024.93239560148;5024.93239560148
4278.78267670034;4278.78267670034
1543.2684610311;1543.2684610311
5996.020663764;0
9885.98507351304;9885.98507351304
6560.26919598961;6560.26919598961
6287.58272171679;6287.58272171679
4882.51006013466;4882.51006013466
3559.99744649378;3559.99744649378
2849.00082885502;2849.00082885502
7376.16047308279;7376.16047308279
5260.00607021822;5260.00607021822
2547.71184744481;2547.71184744481
16292.6557575424;16292.6557575424
7586.95294126282;7586.95294126282
3406.65612361212;3406.65612361212
10254.4384486031;10254.4384486031
13349.7344668107;13349.7344668107
7122.6559237287;7122.6559237287
1409.59035077397;0
3155.70449372917;3155.70449372917
8442.50974257383;0
4516.99900467999;4516.99900467999
21043.1084485948;21043.1084485948
2285.42259457498;0
5891.84722672822;5891.84722672822
4410.17251431907;0
12109.065012416;12109.065012416
17139.9269987363;17139.9269987363
3560.49751261314;3560.49751261314
11177.8534042567;11177.8534042567
2256.86275215477;2256.86275215477
14560.5038854348;14560.5038854348
9667.4207362593;9667.4207362593
3446.18826413687;3446.18826413687
12068.6944997517;0
3830.61343675277;0
7807.64156293779;7807.64156293779
2144.97409545465;0
3796.89572686656;3796.89572686656
7791.01611454671;7791.01611454671
9778.30953802832;0
5842.61377626676;5842.61377626676
10317.7241476815;0
7522.61522781361;0
2127.54506754238;2127.54506754238
3789.45321980364;3789.45321980364
2767.79960116826;2767.79960116826
5443.87566122608;5443.87566122608
11469.7593695828;11469.7593695828
9338.31264462839;9338.31264462839
7892.6342180199;0
4787.60690383156;4787.60690383156
5137.19161835486;5137.19161835486
5588.73016129004;0
3784.84020450587;0
8684.16123248835;8684.16123248835
6635.57024520477;0
5529.53007625654;5529.53007625654
5350.08113489723;5350.08113489723
8025.69904157941;0
2444.31434215448;0
1366.54835820379;0
2844.96546919989;0
3908.96231078393;0
11164.7431892367;11164.7431892367
6006.7664297351;6006.7664297351
11845.8126100249;0
1901.26745913155;0
2849.00082885502;2849.00082885502
1075.02276385807;0
4570.91855102877;0
14049.131255653;14049.131255653
3078.19792852578;0
8680.66158134905;8680.66158134905
11372.1011858495;11372.1011858495
9368.43803120208;0
6528.88474514373;0
9278.65232896378;0
5328.11903111193;0
10104.1705215647;0
13909.3784377112;13909.3784377112
6887.02127554979;0
4232.0641390218;4232.0641390218
4554.71854399359;0
5161.56169583483;0
3276.09805266129;0
6321.44172102111;0
951.092334473338;0
8711.92167185052;8711.92167185052
3987.04809673475;3987.04809673475
7237.67091777775;0
1074.17076695072;1074.17076695072
8759.17172271126;8759.17172271126
7894.53842595988;7894.53842595988
4074.95443053785;4074.95443053785
